Date,Time,Species Name,Accuracy
2023-08-01,20:16:42,Labrador retriever,0.76720244
2024-06-25,15:47:48,Persian cat,0.99787056
2024-06-25,15:48:21,German shepherd,0.9960426
2024-06-25,16:01:42,German shepherd,0.9960426
2024-06-25,16:02:26,Persian cat,0.88116753
2024-06-25,16:03:42,guenon,0.9450974
2024-06-25,18:07:04,Persian cat,0.99787056
2024-06-25,18:10:58,lion,0.98093396
2024-06-25,18:11:23,lesser panda,0.9312182
2024-07-02,19:44:57,Persian cat,0.88116753
2024-07-02,19:49:13,guenon,0.9450974
2024-07-03,19:48:22,Eskimo dog,0.496926
2024-07-03,19:50:17,peacock,0.9997391
2024-07-03,19:52:03,macaw,0.9992493
2024-07-03,19:53:57,Eskimo dog,0.496926
2024-07-03,19:55:38,lesser panda,0.9312182
2024-07-04,13:43:46,Pomeranian,0.78446007
2024-07-04,13:44:45,tiger cat,0.33407152
2024-07-04,13:45:46,Ibizan hound,0.9810075
2024-07-04,13:47:10,Egyptian cat,0.15869336
2024-07-04,13:48:49,Angora,0.81955034
2024-07-11,20:33:37,Angora,0.81955034
2024-07-17,17:50:40,Persian cat,0.99787056
2024-07-17,17:58:35,lion,0.98093396
2024-07-18,12:25:20,tiger cat,0.33407152
2024-07-18,19:21:56,Angora,0.81955034
2024-07-20,14:36:00,suit,0.7502906
2024-07-20,14:37:50,suit,0.620236
2024-07-20,14:38:10,suit,0.620236
2024-07-30,11:50:59,Egyptian cat,0.15869336
2024-08-02,21:38:51,wombat,0.72395086
2024-08-04,16:26:56,hornbill,0.7506579
2024-08-04,16:27:42,Arctic fox,0.2580425
2024-08-04,16:31:25,golden retriever,0.58639485
2024-08-04,16:35:13,Bernese mountain dog,0.6687825
2024-08-04,16:40:18,sorrel,0.72765654
2024-08-04,16:46:47,golden retriever,0.58639485
2024-08-04,16:54:21,golden retriever,0.58639485
2024-08-04,16:54:39,Egyptian cat,0.15869336
2024-08-05,12:19:55,golden retriever,0.58639485
2024-08-05,14:27:50,golden retriever,0.58639485
2024-08-05,14:28:37,sorrel,0.72765654
2024-10-19,12:38:25,Bernese mountain dog,0.6687825
2024-10-19,12:39:39,Eskimo dog,0.496926
2024-10-19,12:40:41,Egyptian cat,0.15869336
2024-10-19,12:41:09,Ibizan hound,0.9810075
2024-10-19,12:41:45,sorrel,0.72765654
2024-10-19,12:45:26,rapeseed,0.56338674
2024-10-19,12:46:19,plate,0.54624087
2024-10-19,12:46:42,plate,0.109894276
2024-10-19,12:47:12,library,0.5916607
2024-10-19,12:47:53,barbershop,0.51245207
2024-10-19,12:48:20,golf ball,0.12134157
